"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 08:34:59 UTC 2026","Wed Apr 01 08:34:59 UTC 2026","2","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","getTasks_WithRemoteDataSourceUnavailable_tasksAreRetrievedFromLocal","getTasks_WithRemoteDataSourceUnavailable_tasksAreRetrievedFromLocal",""
"passed","Wed Apr 01 08:35:00 UTC 2026","Wed Apr 01 08:35:00 UTC 2026","9","","com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModelTest","","com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModelTest","taskDetailViewModel_taskNotFound","taskDetailViewModel_taskNotFound",""
"passed","Wed Apr 01 08:35:00 UTC 2026","Wed Apr 01 08:35:00 UTC 2026","36","","com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModelTest","","com.example.android.architecture.blueprints.todoapp.taskdetail.TaskDetailViewModelTest","activateTask","activateTask",""
"passed","Wed Apr 01 08:35:00 UTC 2026","Wed Apr 01 08:35:00 UTC 2026","8","","com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModelTest","","com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModelTest","loadActiveTasksFromRepositoryAndLoadIntoView","loadActiveTasksFromRepositoryAndLoadIntoView",""
"passed","Wed Apr 01 08:35:00 UTC 2026","Wed Apr 01 08:35:00 UTC 2026","8","","com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModelTest","","com.example.android.architecture.blueprints.todoapp.tasks.TasksViewModelTest","loadTasks_error","loadTasks_error",""
"passed","Wed Apr 01 08:34:59 UTC 2026","Wed Apr 01 08:34:59 UTC 2026","6","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","clearCompletedTasks","clearCompletedTasks",""
"passed","Wed Apr 01 08:35:00 UTC 2026","Wed Apr 01 08:35:00 UTC 2026","6","","com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModelTest","","com.example.android.architecture.blueprints.todoapp.statistics.StatisticsViewModelTest","loadEmptyTasksFromRepository_EmptyResults","loadEmptyTasksFromRepository_EmptyResults",""
"passed","Wed Apr 01 08:34:59 UTC 2026","Wed Apr 01 08:34:59 UTC 2026","5","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","getTasks_WithBothDataSourcesUnavailable_throwsError","getTasks_WithBothDataSourcesUnavailable_throwsError",""
"passed","Wed Apr 01 08:34:59 UTC 2026","Wed Apr 01 08:34:59 UTC 2026","1","","com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModelTest","","com.example.android.architecture.blueprints.todoapp.addedittask.AddEditTaskViewModelTest","saveNewTaskToRepository_emptyTitle_error","saveNewTaskToRepository_emptyTitle_error",""
"passed","Wed Apr 01 08:34:59 UTC 2026","Wed Apr 01 08:34:59 UTC 2026","4","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","","com.example.android.architecture.blueprints.todoapp.data.DefaultTaskRepositoryTest","deleteAllTasks","deleteAllTasks",""
